repo_name,repo_url,default
waldronlab/metagenomics_mac,https://huggingface.co/datasets/waldronlab/metagenomics_mac/tree/main,Y
waldronlab/metagenomics_mac_examples,https://huggingface.co/datasets/waldronlab/metagenomics_mac_examples/tree/main,N
